County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Tuukuo,Makarios Leisanka,Ind,Independent,IND,IND_CAW929_03,IND_CAW929_03
34,Kajiado,186,Kajiado West,930,Mosiro,Koroine,Koilekan Jonathan,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,186,Kajiado West,930,Mosiro,Kuseyo,Peter   Ntimoye,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,186,Kajiado West,930,Mosiro,Tikash,Sasi Mutetia,27,Jubilee Party,JP,JP,27
34,Kajiado,187,Kajiado South,931,Entonet/Lenkisim,Kirrinkol,Nicholas Lemomo,14,Party Of National Unity,PNU,PNU,14
34,Kajiado,187,Kajiado South,931,Entonet/Lenkisim,Metui,Paul  Muterian,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,187,Kajiado South,931,Entonet/Lenkisim,Munke,Jacob  Senteu,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,187,Kajiado South,932,Mbirikani/Eselenkei,Moipaai,Julius  Teto,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,187,Kajiado South,932,Mbirikani/Eselenkei,Saigilu,Timothy Kanka,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,187,Kajiado South,933,Kuku,Lemomo,Edwin  Lewuantai,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,187,Kajiado South,933,Kuku,Lomunyak,James  Godfrey,82,The Service Party,TSP,TSP,82
34,Kajiado,187,Kajiado South,933,Kuku,Mbaa,James  Atome,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,187,Kajiado South,934,Rombo,Kamete,Lengete Ole,Ind,Independent,IND,IND_CAW934_01,IND_CAW934_01
34,Kajiado,187,Kajiado South,934,Rombo,Kitaika,Benedict Ngalauni,Ind,Independent,IND,IND_CAW934_02,IND_CAW934_02
34,Kajiado,187,Kajiado South,934,Rombo,Mbugua,Nyokabi Jane,87,Chama Cha Kazi,KAZI,KAZI,87
34,Kajiado,187,Kajiado South,934,Rombo,Melita,Benson Oloishorua,Ind,Independent,IND,IND_CAW934_03,IND_CAW934_03
34,Kajiado,187,Kajiado South,934,Rombo,Mukuria,Julius Kamwanga,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,187,Kajiado South,934,Rombo,Ningori,Jackson Angaine,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,187,Kajiado South,934,Rombo,Nkukuny,John  Kimotonge,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,187,Kajiado South,934,Rombo,Ntawuasa,Abigael Sein,27,Jubilee Party,JP,JP,27
34,Kajiado,187,Kajiado South,935,Kimana,Chege,Daniel  Kimani,82,The Service Party,TSP,TSP,82
34,Kajiado,187,Kajiado South,935,Kimana,Dioo,George Parsanka,87,Chama Cha Kazi,KAZI,KAZI,87
34,Kajiado,187,Kajiado South,935,Kimana,Kasaine,James,27,Jubilee Party,JP,JP,27
34,Kajiado,187,Kajiado South,935,Kimana,Lemalon,Jackson Lengishon,14,Party Of National Unity,PNU,PNU,14
34,Kajiado,187,Kajiado South,935,Kimana,Malei,Ian Tyson Tarayia,Ind,Independent,IND,IND_CAW935_01,IND_CAW935_01
34,Kajiado,187,Kajiado South,935,Kimana,Nina,James  Kuya,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,188,Kipkelion East,936,Londiani,Kipkorir,Dominic,54,Chama Cha Mashinani,CCM,CCM,54
35,Kericho,188,Kipkelion East,936,Londiani,Vincent,Korir  Kipkirui,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,188,Kipkelion East,937,Kedowa/Kimugul,Chepchirchir,Rhoda,62,Amani National Congress,ANC,ANC,62
35,Kericho,188,Kipkelion East,937,Kedowa/Kimugul,Kimutai,Eric  Vickson,Ind,Independent,IND,IND_CAW937_01,IND_CAW937_01
