County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
17,Makueni,Kioko,Victoria Nzisa,21,Orange Democratic Movement,ODM,ODM,21
17,Makueni,Kisyula,Robert Mue,15,United Democratic Alliance,UDA,UDA,15
17,Makueni,Maanzo,Daniel Kitonga,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
17,Makueni,Malika,Patrick Mbau,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
17,Makueni,Ndiliku,Florence Nzula,27,Jubilee Party,JP,JP,27
18,Nyandarua,Kanagi,Samuel Kimamira,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
18,Nyandarua,Kanyingi,Simon Waweru,27,Jubilee Party,JP,JP,27
18,Nyandarua,Kanyita,Julius Macharia,82,The Service Party,TSP,TSP,82
18,Nyandarua,Kimani,Joseph Kamau,56,Forum For Republican Democracy,FORD,FORD,56
18,Nyandarua,Methu,John Muhia,15,United Democratic Alliance,UDA,UDA,15
18,Nyandarua,Mukua,Daniel Macharia,87,Chama Cha Kazi,KAZI,KAZI,87
18,Nyandarua,Mwangi,Paul Githiomi,Ind,Independent,IND,IND_SEN18_01,IND_SEN18_01
18,Nyandarua,Theuri,John Kinyanjui,Ind,Independent,IND,IND_SEN18_02,IND_SEN18_02
